line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
0,﻿PREFACE.,preface.,9,8,,
1,"Walt Whitman has somewhere a fine and just distinction between “loving
by allowance” and “loving with personal love.” This distinction applies
to books as well as to men and women; and in the case of the not very
numerous authors who are the objects of the personal affection, it
brings a curious consequence with it.","walt whitman has somewhere a fine and just distinction between ""loving by allowance"" and ""loving with personal love."" this distinction applies to books as well as to men and women; and in the case of the not very numerous authors who are the objects of the personal affection, it brings a curious consequence with it.",322,318,,
2,"There is much more difference as
to their best work than in the case of those others who are loved “by
allowance” by convention, and because it is felt to be the right and
proper thing to love them.","there is much more difference as to their best work than in the case of those others who are loved ""by allowance"" by convention, and because it is felt to be the right and proper thing to love them.",201,198,,
3,"And in the sect--fairly large and yet
unusually choice--of Austenians or Janites, there would probably be
found partisans of the claim to primacy of almost every one of the
novels.","and in the sect--fairly large and yet unusually choice--of austenians or janites, there would probably be found partisans of the claim to primacy of almost every one of the novels.",183,180,,
4,"To some the delightful freshness and humour of Northanger
Abbey, its completeness, finish, and entrain, obscure the undoubted
critical facts that its scale is small, and its scheme, after all, that
of burlesque or parody, a kind in which the first rank is reached with
difficulty. Persuasion, relatively faint in tone, and not enthralling
in interest, has devotees who exalt above all the others its exquisite
delicacy and keeping.","to some the delightful freshness and humour of northanger abbey, its completeness, finish, and entrain, obscure the undoubted critical facts that its scale is small, and its scheme, after all, that of burlesque or parody, a kind in which the first rank is reached with difficulty. persuasion, relatively faint in tone, and not enthralling in interest, has devotees who exalt above all the others its exquisite delicacy and keeping.",443,437,,
5,"The catastrophe of Mansfield Park is admittedly
theatrical, the hero and heroine are insipid, and the author has almost
wickedly destroyed all romantic interest by expressly admitting that
Edmund only took Fanny because Mary shocked him, and that Fanny might
very likely have taken Crawford if he had been a little more assiduous;
yet the matchless rehearsal-scenes and the characters of Mrs. Norris and
others have secured, I believe, a considerable party for it. Sense and
Sensibility has perhaps the fewest out-and-out admirers; but it does
not want them._

_I suppose, however, that the majority of at least competent votes
would, all things considered, be divided between Emma and the present
book; and perhaps the vulgar verdict (if indeed a fondness for Miss
Austen be not of itself a patent of exemption from any possible charge
of vulgarity) would go for Emma.","the catastrophe of mansfield park is admittedly theatrical, the hero and heroine are insipid, and the author has almost wickedly destroyed all romantic interest by expressly admitting that edmund only took fanny because mary shocked him, and that fanny might very likely have taken crawford if he had been a little more assiduous; yet the matchless rehearsal-scenes and the characters of mrs. norris and others have secured, i believe, a considerable party for it. sense and sensibility has perhaps the fewest out-and-out admirers; but it does not want them. i suppose, however, that the majority of at least competent votes would, all things considered, be divided between emma and the present book; and perhaps the vulgar verdict (if indeed a fondness for miss austen be not of itself a patent of exemption from any possible charge of vulgarity) would go for emma.",890,875,,
6,"_It is the larger, the more varied, the
more popular; the author had by the time of its composition seen rather
more of the world, and had improved her general, though not her most
peculiar and characteristic dialogue; such figures as Miss Bates, as the
Eltons, cannot but unite the suffrages of everybody.","_it is the larger, the more varied, the more popular; the author had by the time of its composition seen rather more of the world, and had improved her general, though not her most peculiar and characteristic dialogue; such figures as miss bates, as the eltons, cannot but unite the suffrages of everybody.",310,306,,
7,"On the other hand,
I, for my part, declare for Pride and Prejudice unhesitatingly.","on the other hand, i, for my part, declare for pride and prejudice unhesitatingly.",85,84,,
8,"It
seems to me the most perfect, the most characteristic, the most
eminently quintessential of its author’s works; and for this contention
in such narrow space as is permitted to me, I propose here to show
cause._

_In the first place, the book (it may be barely necessary to remind the
reader) was in its first shape written very early, somewhere about 1796,
when Miss Austen was barely twenty-one; though it was revised and
finished at Chawton some fifteen years later, and was not published till
1813, only four years before her death.","it seems to me the most perfect, the most characteristic, the most eminently quintessential of its author's works; and for this contention in such narrow space as is permitted to me, i propose here to show because. in the first place, the book (it may be barely necessary to remind the reader) was in its first shape written very early, somewhere about 1796, when miss austen was barely twenty-one; though it was revised and finished at chawton some fifteen years later, and was not published till 1813, only four years before her death.",548,539,,
9,"I do not know whether, in this
combination of the fresh and vigorous projection of youth, and the
critical revision of middle life, there may be traced the distinct
superiority in point of construction, which, as it seems to me, it
possesses over all the others.","i do not know whether, in this combination of the fresh and vigorous projection of youth, and the critical revision of middle life, there may be traced the distinct superiority in point of construction, which, as it seems to me, it possesses over all the others.",266,262,,
